for,clave_de_mapa,numero_historico,proyecto,nombre_analisis,estatus_analisis,gerencia,gerencias_complementaria,responsable_tecnico_y_participantes,tematica_principal_LGAHOTDU,tematicas_secundarias_LGAHOTDU,tipo_analisis,Otros,insumos consultados,Fuente,Tipo de información,estadistica,nota_metodologica,liga_drive,Image id,Ficha,Buscar,color
,I-064,1,POTmet,Clasificación de área de instrumentos de planeación municipal(macroperspectiva),En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,SRT,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1dAz-KZqiZLF6bn4U0xtaleuA7Rwom94e,,,,
,I-065,1,POTmet,Propuesta de solución de conflictos intermunicipales - Identificación,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,SRT,,Estrategia,,,,,,,https://drive.google.com/open?id=1gWRxU5XTw6dlTclgnBh2BF4ViU12XJ7v,,,,
,I-066,1,POTmet,Propuesta de solución de conflictos intermunicipales (Clasificación),En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,SRT,,Estrategia,,,,,,,https://drive.google.com/file/d/1Fx-__UCiJOJKr1k05DPl20mnicClTzkP/view?usp=sharing,,,,
,I-067,1,POTmet,Áreas de restricción a infraestructura e instalaciones especiales,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,PMR,,Diagnóstico,No se encontro,,,,,,,,,,
,I-068,1,POTmet,Estructura urbana (macroperspectiva),En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,SRT,,Diagnóstico,,,,,,,https://drive.google.com/open?id=17ki1WGKjVw872KUhP9aUacpd9oVWzrOC,,,,
,I-069,1,POTmet,Límites municipales,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,POT,,Base,,,,,,,https://drive.google.com/open?id=1xSZtEyAUVNBgl2UeO9bLSjBXgFLnT4-T,,,,
,I-070,1,POTmet,Vías ferreas aeropuertos terminales,En proceso,(GTM) Gerencia Técnica de Movilidad.,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,IVT,,Base,,,,,,,https://drive.google.com/open?id=18-h_c4PM3gTgAl35YIyv2oVmE9VWr4E4,,,,
,I-071,1,POTmet,"Estructura vial (vialidades regionales,principales y nodos viales)",En proceso,(GTM) Gerencia Técnica de Movilidad.,,,IVT,,Base,,,,,,,https://drive.google.com/open?id=1WMPk3epT9TvwBH56o34rCzW4JRiP9MXQ,,,,
,I-072,1,POTmet,Conflictos entre límites municipales,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,SRT,,Diagnóstico,,,,,,,https://drive.google.com/open?id=15wg9U2_qQmYcmjrSg-weRqScqWvDeEpj,,,,
,I-073,1,POTmet,Síntesis del diagnóstico ,En proceso,,,,SRT,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1neGuOEotc97IKGnyS146MMIUkXy7J6kZ,,,,
,I-074,1,POTmet,Identificación de conflictos intermunicipales,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,SRT,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1RJZv3N4J5-Ab8qjO8oFT9fMvd1sATJvG,,,,
,I-075,1,POTmet,Clasificación de conflictos intermunicipales,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,SRT,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1-29iE0GWUMR43_c1ij0O0uYL7wPD3SGv,,,,
,I-075.1,1,POTmet,Clasificación de conflictos intermunicipales,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,SRT,,Diagnóstico,,,,,,,https://drive.google.com/file/d/1_a9fUpW0uWlZldCY02ROantmgR9HXdA8/view?usp=sharing,,,,
,I-076,1,POTmet,Densidad de actividades agropecuarias,En proceso,(GTOTGS) Gerencia Técnica de Ordenamiento Territorial y Gestión del Suelo.,,,POT,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1Gfv_9dc1G6ZLo0xc9ONTEY4xHj8dV-op,,,,
,I-077,1,POTmet,Grado de conectividad metropolitana,En proceso,(GTM) Gerencia Técnica de Movilidad.,,,IVT,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1Sot5VjfOPHIg2xvctJgLbWRZcpjxvg5E,,,,
,I-078,1,POTmet,Peligros asociados a riesgos geológicos,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,,PMR,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1GD5HEbjLSija6qWGF1mlo4qlwq5QNoOF,,,,
,I-079,1,POTmet,Peligros asociados al agrietamiento del terreno,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,,PMR,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1uqEmWmyGL3FBeQOs1BX6p3YO_22k44iL,,,,
,I-080,1,POTmet,Peligros asociados al flujo de lodos y escombros,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,,PMR,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1Fp8vs1tlwnsnOse1SgrUIyvz2Ejdvmxw,,,,
,I-081,1,POTmet,Peligros asociados a hundimientos,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,,PMR,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1HfLVJl9CHEB-Et--tOg-hu8uKzN-BTDV,,,,
,I-082,1,POTmet,Peligros asociados a inestabilidad de laderas,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,,PMR,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1UlWB1B5I1fr_DrD0H4w_G7fYuijTHh8m,,,,
24/05/2020,I-083,1,Atlas de Riesgos,PASOS Y RETORNOS A DESNIVEL CON  Y SIN RECURRENCIA DE INUNDACIONES EN EL AMG,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Diagnóstico,,Sitios recurrentes de inundación 2020.,Sitios recurrentes de inundación 2020.,Pública,https://drive.google.com/file/d/18AqTMgt9INQklDij9Ab-nL9kgqR2l3Iu/view?usp=sharing,https://drive.google.com/file/d/1NkpCTZaGLHu67P6KehHrUqVl64S1tPIj/view?usp=sharing,https://drive.google.com/file/d/1Jb892clRC10PI9ykm-EDBy1x8PIxtIK1/view?usp=sharing,,,,
25-may-20,I-084,1,Atlas de Riesgos,CRECIMIENTO DE LAS INUNDACIONES EN EL AMG,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Diagnóstico,,Mapa de eventos históricos de inundaciones 2020,Mapa de eventos históricos de inundaciones 2020,Pública,https://drive.google.com/file/d/16XgCsjWLIMWjojuuS8QXsUzbYRAS3t8h/view?usp=sharing,https://drive.google.com/file/d/1CMqxEvsG8uZIYcnhXgvPK-ZpTupel96k/view?usp=sharing,https://drive.google.com/file/d/1l_YhPzh9DKGHv1Qa-AOyArjzwZhNEQTI/view?usp=sharing,,,,
,I-085,1,Atlas de Riesgos,Peligros asociados a riesgos de inundación,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,,PMR,,Diagnóstico,,,,,,,https://drive.google.com/open?id=1kL5fYQs4tj-DJod_qJTPAo_sf5-OAEaU,,,,
25-may-20,I-086,1,Atlas de Riesgos,COMPARATIVA DE LOS SITIOS RECURRENTES DE INUNDACIÓN Y LOS SITIOS IDENTIFICADOS POR LA UDEG,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc ,PMR,GIA,Diagnóstico,,"Sitios recurrentes de inundación GTMUI, 2020.
Sitios identificados por la UdeG y presentados el 21 de mayo de 2020","Sitios recurrentes de inundación GTMUI, 2020.
Sitios identificados por la UdeG y presentados el 21 de mayo de 2020",Pública,"https://drive.google.com/file/d/1xQK_K1HSwu7nEscLt1rUllf2J0vGDo0Q/view?usp=sharing
https://drive.google.com/file/d/1sRmDV0dlQHcBXcjN0IXpwD6wBJq7Fuv8/view?usp=sharing",https://drive.google.com/file/d/1kz_fIZuJEBrQVs5vJB8vV9Is4jf-U2CD/view?usp=sharing,https://drive.google.com/file/d/1CZhEVwYpaud4c0r67rtnQ-KA65m7lDIu/view?usp=sharing,,,,
29-may-20,I-086.1,1,Atlas de Riesgos,CLASIFICACIÓN DE LOS SITIOS RECURRENTES DE INUNDACIÓN POR EL TIRANTE DE AGUA,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Diagnóstico,,"Sitios recurrentes de inundación GTMUI, 2020","Sitios recurrentes de inundación GTMUI, 2020",Pública,https://drive.google.com/file/d/1j0kW6CA5K7Hbwfu0Fld6-QuJX-dA0EOg/view?usp=sharing,https://drive.google.com/file/d/1Yeu7gJ5orIK95huUJEaKAVGuhISzIcBH/view?usp=sharing,https://drive.google.com/file/d/1hsCMz4ckjFdoBWV_Km7kddJDlRA1od6V/view?usp=sharing,,,,
11-jun-20,I-086.10,1,Atlas de Riesgos,SITIOS RECURENTES DE INUNDACION CON ACCIONES DE PREVENCIÓN Y MITIGACIÓN MUNICIPIO DE EL SALTO,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Estrategia,,"Sitios recurrentes de inundación GTMUI, 2020, Acciones para la prevención y mitigación de las direcciones de obras públicas y PCyB de los municipios del AMG 2020","Sitios recurrentes de inundación GTMUI, 2020, Acciones para la prevención y mitigación de las direcciones de obras públicas y PCyB de los municipios del AMG 2020",Pública,https://drive.google.com/file/d/1Vo-6aZZG3hLk3HNete5vWHBzhcTPdrXH/view?usp=sharing,https://drive.google.com/file/d/1_vW0mGBiBphUmjtMbk05h5sRcFnDLe-_/view?usp=sharing,https://drive.google.com/file/d/1fcP6LwWXIY4aMKHVmrhqJkrXqP1CJah2/view?usp=sharing,,,,
11-jun-20,I-086.11,1,Atlas de Riesgos,"SITIOS RECURRENTES DE INUNDACIÓN, CON ACCIONES DE PREVENCIÓN Y MITIGACIÓN DE INUNDACIONES DEL AMG",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Estrategia,,"Mapa de eventos recurrentes de inundaciones, acciones para la prevención y mitigación de inundaciones",Obras Públicas y Direcciones de PCyB del AMG,Pública,https://drive.google.com/file/d/1bjQkoTbgjDI3BqtWTtJSp6niFwQEvaHb/view?usp=sharing,https://drive.google.com/file/d/1bWSSfk9LV3paeGBSsRRk9hXs4t7mfRr7/view?usp=sharing,https://drive.google.com/file/d/1TPtoNlVNCPuK7wviR8O99yMkfxzKyH0X/view?usp=sharing,,,,
11-jun-20,I-086.12,1,Atlas de Riesgos,"ACCIONES DE PREVENCIÓN Y MITIGACIÓN DE INUNDACIONES DEL AMG,  2020",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Estrategia,,Acciones para la prevención y mitigación de inundaciones,Obras Públicas y Direcciones de PCyB del AMG,Pública,https://drive.google.com/file/d/13eygRtE8jyXp7zHPwHfL7RnGuOM6sHTb/view?usp=sharing,https://drive.google.com/file/d/1e8l865GNQY5pdpY3FHN8uDt3Txg4PsIw/view?usp=sharing,https://drive.google.com/file/d/1_R2Wa-2pM04S8rXWjBwC2dXcnkrryp3T/view?usp=sharing,,,,
13-jul-21,I-086.12,2,Atlas de Riesgos,"ACCIONES DE PREVENCIÓN Y MITIGACIÓN DE INUNDACIONES DEL AMG,  2021",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Estrategia,,Acciones para la prevención y mitigación de inundaciones 2021,Obras Públicas y Direcciones de PCyB del AMG,Pública,https://docs.google.com/spreadsheets/d/1yqXwF1LgKIiZbymm2UmjRWbb68rmwiGt/edit?usp=sharing&ouid=115555841731459112544&rtpof=true&sd=true,https://docs.google.com/document/d/13Yu22SknrnLemcS3ufVG3yyuU1tinK6d/edit?usp=sharing&ouid=115555841731459112544&rtpof=true&sd=true,https://drive.google.com/file/d/1JqBVBiaUCXJDTEoU3mXfvZD2ETBdkJR-/view?usp=sharing,,,,
07-dic-20,I-086.13,1,Atlas de Riesgos,TOTAL DE SITIOS RECURRENTES DE INUNDACIÓN POR MICROCUENCA,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Diagnóstico,,"Mapa de eventos recurrentes de inundaciones, acciones para la prevención y mitigación de inundaciones.
Límite de microcuencas FIRCO 2006.","Sitios recurrentes de inundación GTI 2020.
Límite de microcuencas FIRCO 2006.",Pública,https://drive.google.com/file/d/1pvBKWu9AZ9n4TDxuGzAWPhwL9FIFCHto/view?usp=sharing,https://drive.google.com/file/d/1IfWAZoFveIVojqC7simprSUSEclxhSPq/view?usp=sharing,https://drive.google.com/file/d/1i-rA6Zn44tTprbH9ldNkYmEO3PO27IIN/view?usp=sharing,,,,
07-dic-20,I-086.14,1,Atlas de Riesgos,REPORTE DE INUNDACIONES Y/O ENCHARCAMIENTOS EN LOS SITIOS DE MONITOREO,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Diagnóstico,,"Sitios de monitoreo de inundación
Reporte de inundaciones y/o encharcamientos por ciudadanos","Sitios de monitoreo GTMUI, 2020.",Pública,https://drive.google.com/file/d/1bMK5B2kLj_daa18vvYmeTVuswFfAU18p/view?usp=sharing,https://drive.google.com/file/d/1fe5NPYVPV2OSo7FvPNyrM-E1-umCc70e/view?usp=sharing,https://drive.google.com/file/d/1LqckcMBkhvrk0gGzcd2rrcvvROxP830Z/view?usp=sharing,,,,
07-dic-20,I-086.15,1,Atlas de Riesgos,REPORTE DE INUNDACIONES Y/O ENCHARCAMIENTOS EN LOS SITIOS RECURRENTES DE INUNDACIÓN,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Diagnóstico,,"Sitios recurrentes de inundación 2020
Reporte de inundaciones y/o encharcamientos VIMOZmetro hasta septiembre 2020.
Reporte de inundaciones y/o encharcamientos Notas periodísticas 2020","Sitios recurrentes de inundación 2020
Reporte de inundaciones y/o encharcamientos VIMOZmetro hasta septiembre 2020.
Reporte de inundaciones y/o encharcamientos Notas periodísticas 2020",Pública,https://drive.google.com/file/d/1CUCJ45riL6U5H321EIOCVUifq7V33-g4/view?usp=sharing,https://drive.google.com/file/d/1R4gf2Djr_jdNFG_U8CPgCc_NdcpGXUxx/view?usp=sharing,https://drive.google.com/file/d/1MdNg469qyKwZHasqjFpc5Ctv-eynRU27/view?usp=sharing,,,,
14-dic-21,I-086.15,2,Atlas de Riesgos,"REPORTE DE INUNDACIONES Y/O ENCHARCAMIENTOS EN LOS SITIOS RECURRENTES DE INUNDACIÓN, 2021",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Daniel Olguin,PMR,,,,"Sitios recurrentes de inundación 2021, Invnetario de Peligros metropolitano","Sitios recurrentes de inundación 2021, Invnetario de Peligros metropolitano",Reservada,https://docs.google.com/spreadsheets/d/1_QbxZ9P_5IkM00pC61y9qHwchl2t4eTA/edit?usp=sharing&ouid=102263676555670005453&rtpof=true&sd=true,https://docs.google.com/document/d/1f7kDFtNRg_MOUQIYiiBbYN2Log3utT5r/edit?usp=sharing&ouid=102263676555670005453&rtpof=true&sd=true,https://drive.google.com/file/d/1AdP-ifiveIF-Xx2hkQPijtTK0o1eIM91/view?usp=sharing,,,,
07-dic-20,I-086.16,1,Atlas de Riesgos,SITIOS RECURRENTES DE INUNDACIÓN CON REPORTES DE INUNDACIONES VIMOZMETRO - NOTAS PERIODÍSTICAS,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Diagnóstico,,Sitios recurrentes de inundación 2020 Acciones de prevención y mitigación de inundaciones 2020,Sitios recurrentes de inundación 2020 Acciones de prevención y mitigación de inundaciones 2020,Pública,https://drive.google.com/file/d/1RwtfCYIjJqPuEjc4KuO-4Jiql2Eqp48v/view?usp=sharing,https://drive.google.com/file/d/1GrEPopaOa15rgRCKdzzST0WOymD-U6NB/view?usp=sharing,,,,,
14-dic-21,I-086.16,2,Atlas de Riesgos,"SITIOS RECURRENTES DE INUNDACIÓN CON REPORTES DE INUNDACIONES VIMOZMETRO - FUENTES NO OFICIALES, 2021",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Daniel Olguin,PMR,,,,Sitios recurrentes de inundación 2021 Acciones de prevención y mitigación de inundaciones 2021,Sitios recurrentes de inundación 2021 Acciones de prevención y mitigación de inundaciones 2021,Pública,https://docs.google.com/spreadsheets/d/1x37RSF4erX2RyRv5MMEEvBj3F72NJ3N-/edit?usp=sharing&ouid=102263676555670005453&rtpof=true&sd=true,https://docs.google.com/document/d/1-AXGWaucl1P4xFjOJjlQ-0yIOWpWXz_G/edit?usp=sharing&ouid=102263676555670005453&rtpof=true&sd=true,https://drive.google.com/file/d/14dIZ4rPnQc-sKRnoX_tO-i9hf94S_SjS/view?usp=sharing,,,,
07-dic-20,I-086.17,1,Atlas de Riesgos,REPORTE DE INUNDACIONES Y/O ENCHARCAMIENTOS EN LOS SITIOS RECURRENTES DE INUNDACIÓN MUNICIPIO DE EL SALTO,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Diagnóstico,,Sitios recurrentes de inundación 2020 Acciones de prevención y mitigación de inundaciones 2020,Sitios recurrentes de inundación 2020 Acciones de prevención y mitigación de inundaciones 2020,Pública,https://drive.google.com/file/d/1zMTgqFWLh1ICHfQFmoAmGi0Ws1yMiEfQ/view?usp=sharing,,https://drive.google.com/file/d/1xflnOQPxDrMyHnY3KXNrBh9ZmAqzJeEX/view?usp=sharing,,,,
14-dic-21,I-086.17,2,Atlas de Riesgos,REPORTE DE INUNDACIONES Y/O ENCHARCAMIENTOS EN LOS SITIOS RECURRENTES DE INUNDACIÓN MUNICIPIO DE EL SALTO,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Alicia Guzmán,PMR,GIA,Diagnóstico,,Sitios recurrentes de inundación 2021 Acciones de prevención y mitigación de inundaciones 2021,Sitios recurrentes de inundación 2120 Acciones de prevención y mitigación de inundaciones 2021,Pública,https://docs.google.com/spreadsheets/d/1QMoJlnFcIkduTTZnQGJkh29lUCd8Dujc/edit?usp=sharing&ouid=116504468062463992456&rtpof=true&sd=true,,https://drive.google.com/file/d/1EGlubUR5YVbtXL96xrIvLM59CSrbyM8t/view?usp=sharing,,,,
07-dic-20,I-086.18,1,Atlas de Riesgos,REPORTES DE INUNDACIONES Y/O ENCHARCAMIENTOS EN LOS SITIOS RECURRENTES DE INUNDACIÓN MUNICIPIO DE GUADALAJARA,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Diagnóstico,,Sitios recurrentes de inundación 2020 Acciones de prevención y mitigación de inundaciones 2020,Sitios recurrentes de inundación 2020 Acciones de prevención y mitigación de inundaciones 2020,Pública,https://drive.google.com/file/d/1FLbxPCfVc9sVjuO8RbyA6uXOzCqm-tRz/view?usp=sharing,,https://drive.google.com/file/d/1yKNPDKCvGTdCe04JwtkjqO5JLFOwvllR/view?usp=sharing,,,,
14-dic-21,I-086.18,2,Atlas de Riesgos,REPORTES DE INUNDACIONES Y/O ENCHARCAMIENTOS EN LOS SITIOS RECURRENTES DE INUNDACIÓN MUNICIPIO DE GUADALAJARA,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Alicia Guzmán,PMR,GIA,Diagnóstico,,Sitios recurrentes de inundación 2021 Acciones de prevención y mitigación de inundaciones 2021,Sitios recurrentes de inundación 2120 Acciones de prevención y mitigación de inundaciones 2021,Pública,https://docs.google.com/spreadsheets/d/1srNlKczWm8iXPH9pgMRLIY3EMowHeSRT/edit?usp=sharing&ouid=116504468062463992456&rtpof=true&sd=true,,https://drive.google.com/file/d/1SM_pSZ0jQhiBP57wUhghl99bfkMZp5wv/view?usp=sharing,,,,
07-dic-20,I-086.19,1,Atlas de Riesgos,REPORTES DE INUNDACIONES Y_O ENCHARCAMIENTOS EN LOS SITIOS RECURRENTES DE INUNDACIÓN MUNICIPIO DE IXTLAHUACÁN DE LOS MEMBRILLOS,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Diagnóstico,,Sitios recurrentes de inundación 2020 Acciones de prevención y mitigación de inundaciones 2020,Sitios recurrentes de inundación 2020 Acciones de prevención y mitigación de inundaciones 2020,Pública,https://drive.google.com/file/d/159WedSNhDMLvZyTTyfj57pE0uenMRmCr/view?usp=sharing,,https://drive.google.com/file/d/1UVZonICngUoD3GF2BZuOivq9i4ZTw_WI/view?usp=sharing,,,,
15-dic-21,I-086.19,2,Atlas de Riesgos,REPORTES DE INUNDACIONES Y_O ENCHARCAMIENTOS EN LOS SITIOS RECURRENTES DE INUNDACIÓN MUNICIPIO DE IXTLAHUACÁN DE LOS MEMBRILLOS 2021,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Diagnóstico,,"Sitios recurrentes de inundación 2021,IPM 2021 y fuentes no oficiales 2021","MUI, 2021
Fuentes no oficiales 2021",Pública,,,https://drive.google.com/file/d/110Y9Yip8emoiTjRo_73ZiLLJ0WFa-yL4/view?usp=sharing,,,,
10-jun-20,I-086.2,1,Atlas de Riesgos,SITIOS RECURENTES DE INUNDACION CON ACCIONES DE PREVENCIÓN Y MITIGACIÓN MUNICIPIO DE ZAPOTLANEJO,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Estrategia,,"Sitios recurrentes de inundación GTMUI, 2020, Acciones para la prevención y mitigación de las direcciones de obras públicas y PCyB de los municipios del AMG 2020","Sitios recurrentes de inundación GTMUI, 2020, Acciones para la prevención y mitigación de las direcciones de obras públicas y PCyB de los municipios del AMG 2020",Pública,https://drive.google.com/file/d/1D6BtZVJdtteZ7f4BlUQxdcCvBiLDGkuJ/view?usp=sharing,https://drive.google.com/file/d/16NB-OFvsubOdqPbJIF2F5xregYflevWM/view?usp=sharing,https://drive.google.com/file/d/1Pbcm9N9I09Se_NrGh9n-1OphcTETMOBX/view?usp=sharing,,,,
07-dic-20,I-086.20,1,Atlas de Riesgos,REPORTES DE INUNDACIONES Y_O ENCHARCAMIENTOS EN LOS SITIOS RECURRENTES DE INUNDACIÓN MUNICIPIO DE JUANACATLÁN,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Diagnóstico,,Sitios recurrentes de inundación 2020 Acciones de prevención y mitigación de inundaciones 2020,Sitios recurrentes de inundación 2020 Acciones de prevención y mitigación de inundaciones 2020,Pública,https://drive.google.com/file/d/1KPbKy_uxPHBNGmI7DnJpg9ET9n3tqCsc/view?usp=sharing,,https://drive.google.com/file/d/1xR70mI4qkpA9eKtjx_8zBnsQv4ay5_Ch/view?usp=sharing,,,,
15-dic-21,I-086.20,2,Atlas de Riesgos,"REPORTES DE INUNDACIONES Y_O ENCHARCAMIENTOS EN LOS SITIOS RECURRENTES DE INUNDACIÓN MUNICIPIO DE JUANACATLÁN, 2021",En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Daniel Olguin,,,,,"Sitios recurrentes de inundación 2021,  Acciones de prevención y mitigación de inundaciones 2021",Sitios recurrentes de inundación 2021 Acciones de prevención y mitigación de inundaciones 2021,Reservada,https://docs.google.com/spreadsheets/d/1DHdCCmJrYdH3Mcx6fF_yjKeS7e44RUEb/edit?usp=sharing&ouid=102263676555670005453&rtpof=true&sd=true,https://docs.google.com/document/d/14rqEsSWYD1gwqLmCY25vVR0tYxKuLan2/edit?usp=sharing&ouid=102263676555670005453&rtpof=true&sd=true,https://drive.google.com/file/d/1Hv3MyuhpXZT5HYdGruXd1Iyx21IDeqs7/view?usp=sharing,,,,
07-dic-20,I-086.21,1,Atlas de Riesgos,REPORTES DE INUNDACIONES Y_O ENCHARCAMIENTOS EN LOS SITIOS RECURRENTES DE INUNDACIÓN MUNICIPIO DE SAN PEDRO TLAQUEPAQUE,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Diagnóstico,,Sitios recurrentes de inundación 2020 Acciones de prevención y mitigación de inundaciones 2020,Sitios recurrentes de inundación 2020 Acciones de prevención y mitigación de inundaciones 2020,Pública,https://drive.google.com/file/d/17rjDaMUSD5-_5EqMfQq8sF1-Mfes_xVe/view?usp=sharing,,https://drive.google.com/file/d/1MPqpflfRSNc2NfdiVFS7ajWyxRUwDdlY/view?usp=sharing,,,,
15-dic-21,I-086.21,2,Atlas de Riesgos,REPORTES DE INUNDACIONES Y_O ENCHARCAMIENTOS EN LOS SITIOS RECURRENTES DE INUNDACIÓN MUNICIPIO DE SAN PEDRO TLAQUEPAQUE 2021,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Diagnóstico,,"Sitios recurrentes de inundación 2021,IPM 2021 y fuentes no oficiales 2021","MUI, 2021
Fuentes no oficiales 2021",Pública,https://docs.google.com/document/d/19vMdkapHa1ITanNhfH4T2fKYFpNEuJwn/edit?usp=sharing&ouid=115555841731459112544&rtpof=true&sd=true,,https://drive.google.com/file/d/1hERWHIePf9qbXR1bW9VttAXQVfhZrx8E/view?usp=sharing,,,,
07-dic-20,I-086.22,1,Atlas de Riesgos,REPORTES DE INUNDACIONES Y_O ENCHARCAMIENTOS EN LOS SITIOS RECURRENTES DE INUNDACIÓN MUNICIPIO DE TLAJOMULCO DE ZÚÑIGA,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Diagnóstico,,Sitios recurrentes de inundación 2020 Acciones de prevención y mitigación de inundaciones 2020,Sitios recurrentes de inundación 2020 Acciones de prevención y mitigación de inundaciones 2020,Pública,https://drive.google.com/file/d/1hC29Yl0GLqf4jZkL9xJEN2Uc0D9j6uXv/view?usp=sharing,,https://drive.google.com/file/d/1JbtS4vPUNl6FXJortMb-nss1FImi1lSP/view?usp=sharing,,,,
15-dic-21,I-086.22,2,Atlas de Riesgos,REPORTES DE INUNDACIONES Y_O ENCHARCAMIENTOS EN LOS SITIOS RECURRENTES DE INUNDACIÓN MUNICIPIO DE TLAJOMULCO DE ZÚÑIGA 2021,En proceso,(GTGIR) Gerencia Técnica de Gestión Integral del Riesgos.,,Cuauhtémoc,PMR,GIA,Diagnóstico,,"Sitios recurrentes de inundación 2021,IPM 2021 y fuentes no oficiales 2021","MUI, 2021
Fuentes no oficiales 2021",Pública,https://docs.google.com/document/d/1AxfOsplCLe1bAbIlqsVuO8vMQFQSmRbQ/edit?usp=sharing&ouid=115555841731459112544&rtpof=true&sd=true,,https://drive.google.com/file/d/1-8bYo7t-dvMOE9Z9kQNS1MT4O5Vlu8Sm/view?usp=sharing,,,,
